Age_num,0
0,-4.175753565386926
1,-6.758425166328669
2,-7.2442018390049
3,-7.5273671909461815
4,-7.744005836753846
5,-7.876921436412276
6,-7.982265291249127
7,-8.068790100013421
8,-8.116755830824916
9,-8.170068344055236
10,-8.198775756123009
11,-8.154158031869386
12,-8.058899755461992
13,-7.899720576313544
14,-7.696237019246099
15,-7.461177177250711
16,-7.186038497512102
17,-7.006964582736686
18,-6.817964698222278
19,-6.751163122758435
20,-6.716043248679544
21,-6.650445400092669
22,-6.633989400102349
23,-6.62682034953575
24,-6.627694543396218
25,-6.613107710279457
26,-6.599268238952794
27,-6.580661857407682
28,-6.541179488546997
29,-6.521931867535993
30,-6.48865009734057
31,-6.436541009471089
32,-6.387422689620564
33,-6.335172156812763
34,-6.289988807662284
35,-6.225232348798445
36,-6.164675552055479
37,-6.099056035616478
38,-6.017864298171311
39,-5.963955752425629
40,-5.885459824199975
41,-5.8120921039907225
42,-5.725845355591142
43,-5.651352277497508
44,-5.577766470682541
45,-5.491776316172666
46,-5.4083612716915965
47,-5.324220978236297
48,-5.23399767784852
49,-5.160835688151006
50,-5.064063965358883
51,-4.983178994189315
52,-4.89398633483523
53,-4.818022747651037
54,-4.742085520167583
55,-4.659021552140584
56,-4.58211706160563
57,-4.505082606859771
58,-4.415251678437862
59,-4.342532595079099
60,-4.2501348534653145
61,-4.178724421614793
62,-4.085656074426837
63,-4.015871902394806
64,-3.9432718573496714
65,-3.8578590860939195
66,-3.7925641095659066
67,-3.712534373026541
68,-3.6323102871925923
69,-3.5571075978649165
70,-3.460988800855516
71,-3.388410659490574
72,-3.287155909962792
73,-3.2067074169456533
74,-3.120369426613965
75,-3.0281324194406385
76,-2.9468319978133017
77,-2.862794134571944
78,-2.774014783258553
79,-2.6824695643826972
80,-2.5800052640798596
81,-2.4981512084674677
82,-2.3965469982088963
83,-2.2994528394774063
84,-2.2025205607173626
85,-2.10964180099478
86,-2.015629037627314
87,-1.9237089374766696
88,-1.8379094956537187
89,-1.7451219568899026
90,-1.6500793788537385
91,-1.580691559967517
92,-1.4916219132431943
93,-1.4125498769947098
94,-1.3389634420865084
95,-1.2674065023898846
96,-1.200227182198693
97,-1.1436301328932237
98,-1.1003013628778036
99,-1.0683491534298095
100,-0.9516017086963376
